Date,PL,DC,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,DC_PL_pair,sharpe,CAGR
1993-03-31,363.7,10.74,-29.66345563913292,45.11448643571242,1.238852971653652,False,False,0.0,False,False,0.0,0.0,0.006645110116232031,0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-04-01,366.0,11.02,-29.70769618696026,38.62118801969797,0.5142817970314825,False,False,0.0,False,False,0.0,0.0,-0.009364719982529433,-0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-04-02,367.2,11.02,-29.7481658965407,39.37521182012148,0.5960525687867176,False,False,0.0,False,False,0.0,0.0,0.0010848876374584251,0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-04-03,371.4,11.02,-29.79575148480076,43.05081863749558,1.002151459730052,False,False,0.0,False,False,0.0,0.0,0.005252749006747259,0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-04-04,371.4,11.02,-29.846534454877553,42.49119030724938,0.9376273548146323,False,False,0.0,False,False,0.0,0.0,-0.0007991165076043045,-0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-04-05,371.4,11.02,-29.897898754686015,41.92515572336009,0.872438599639166,False,False,0.0,False,False,0.0,0.0,-0.0008076114994161116,-0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-04-06,368.0,11.02,-29.93945190536037,38.06724000292871,0.4373179192702097,False,False,0.0,False,False,0.0,0.0,-0.0055276323760007585,-0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-04-07,364.7,11.02,-29.965085585452574,34.48475684831266,0.027484702122750393,False,False,0.0,False,False,0.0,0.0,-0.0051552807193697816,-0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-04-08,361.9,11.02,-29.972641001707622,31.601496161182013,-0.3069139131087739,False,False,0.0,False,True,0.0,0.0,-0.004165366829226817,-0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-04-09,362.6,11.02,-29.97020124766074,32.3283822507787,-0.22886744590627384,False,False,0.0,False,False,0.0,0.0,0.0010490920265401598,0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-04-10,362.6,11.02,-29.961439955172487,32.42493169399921,-0.22141980688612667,False,False,0.0,False,False,0.0,0.0,0.00013936622092448677,0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-04-11,362.6,11.02,-29.94888770504053,32.563257490453395,-0.208613612744105,False,False,0.0,False,False,0.0,0.0,0.00019970900757156426,0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-04-12,362.6,11.02,-29.934270261343755,32.724341719991855,-0.19469411125639274,False,False,0.0,False,False,0.0,0.0,0.00023262078256810622,0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
